Idade,Gênero,IMC,Filhos,Fumante,Região,Fumante_Numero,Encargos,Categoria_IMC,outlier_mask_Idade,outlier_mask_IMC,outlier_mask_Filhos,outlier_mask_Fumante_Numero,outlier_mask_Encargos
56.0,feminino,29.77,2.0,sim,sudoeste,1.0,,Sobrepeso,0,0,0,0,1
46.0,masculino,25.86,1.0,não,nordeste,0.0,,Sobrepeso,0,0,0,0,1
32.0,masculino,23.01,0.0,não,sudoeste,0.0,,Peso normal,0,0,0,0,1
59.0,masculino,,2.0,sim,noroeste,1.0,6388.89,Valor Inválido,0,0,0,0,0
,masculino,30.15,,não,sudeste,0.0,1057.56,Obeso,0,0,0,0,0
62.0,feminino,22.26,1.0,,noroeste,,5015.54,Peso normal,0,0,0,0,0
68.0,masculino,30.3,2.0,,sudeste,,6479.44,Obeso,0,0,0,0,0
,masculino,,3.0,sim,nordeste,1.0,3348.54,Valor Inválido,0,0,0,0,0
45.0,masculino,20.76,3.0,sim,nordeste,1.0,5817.88,Peso normal,0,0,0,0,0
25.0,masculino,27.33,,,,,2643.01,Sobrepeso,0,0,0,0,0
50.0,masculino,34.47,1.0,,noroeste,,5222.17,Obeso,0,0,0,0,0
33.0,masculino,,2.0,,sudeste,,4469.08,Valor Inválido,0,0,0,0,0
79.0,feminino,34.06,1.0,não,nordeste,0.0,6324.29,Obeso,0,0,0,0,0
64.0,feminino,23.06,0.0,sim,nordeste,1.0,5880.46,Peso normal,0,0,0,0,0
,feminino,24.07,0.0,sim,sudoeste,1.0,1927.13,Peso normal,0,0,0,0,0
54.0,feminino,25.61,1.0,sim,sudeste,1.0,5197.31,Sobrepeso,0,0,0,0,0
24.0,feminino,18.45,2.0,não,sudoeste,0.0,3384.28,Abaixo do peso,0,0,0,0,0
23.0,masculino,,0.0,não,nordeste,0.0,2933.18,Valor Inválido,0,0,0,0,0
59.0,masculino,33.97,1.0,,sudoeste,,5805.03,Obeso,0,0,0,0,0
23.0,masculino,19.33,2.0,sim,sudeste,1.0,3716.1,Peso normal,0,0,0,0,0
46.0,masculino,25.48,2.0,não,sudeste,0.0,5027.55,Sobrepeso,0,0,0,0,0
49.0,feminino,24.04,3.0,sim,nordeste,1.0,5752.43,Peso normal,0,0,0,0,0
18.0,masculino,22.8,,sim,nordeste,1.0,2407.71,Peso normal,0,0,0,0,0
77.0,,33.53,,não,,0.0,6418.42,Obeso,0,0,0,0,0
49.0,masculino,26.42,,não,nordeste,0.0,4245.17,Sobrepeso,0,0,0,0,0
62.0,feminino,31.38,0.0,sim,noroeste,1.0,6098.62,Obeso,0,0,0,0,0
78.0,masculino,34.64,2.0,não,nordeste,0.0,6797.74,Obeso,0,0,0,0,0
22.0,feminino,33.99,0.0,,sudoeste,,2592.23,Obeso,0,0,0,0,0
22.0,masculino,26.81,0.0,,noroeste,,2951.37,Sobrepeso,0,0,0,0,0
49.0,masculino,30.29,0.0,sim,sudoeste,1.0,4824.23,Obeso,0,0,0,0,0
38.0,,30.8,1.0,sim,sudoeste,1.0,4878.93,Obeso,0,0,0,0,0
47.0,feminino,19.75,3.0,sim,sudoeste,1.0,5603.37,Peso normal,0,0,0,0,0
39.0,feminino,23.15,0.0,não,sudoeste,0.0,3189.1,Peso normal,0,0,0,0,0
59.0,masculino,19.1,0.0,sim,noroeste,1.0,5526.64,Peso normal,0,0,0,0,0
27.0,feminino,22.53,3.0,não,sudoeste,0.0,3649.2,Peso normal,0,0,0,0,0
69.0,feminino,33.7,0.0,,sudoeste,,5754.02,Obeso,0,0,0,0,0
32.0,feminino,30.68,2.0,não,sudeste,0.0,4055.69,Obeso,0,0,0,0,0
18.0,feminino,30.21,0.0,não,,0.0,2378.19,Obeso,0,0,0,0,0
73.0,feminino,32.21,2.0,não,sudeste,0.0,6673.99,Obeso,0,0,0,0,0
